shot_num,team,distant_to_goal,play_pattern,duration,angle_to_goal,players_between_goal,within_1,within_5,within_10,goal
113,Portugal,18.027756377319946,From Throw In,1.68,0.11710874456686428,1,0,2,2,0
114,Iran,31.906112267087632,From Free Kick,1.333,0.4487233440107211,3,0,1,2,0
115,Portugal,10.44030650891055,From Corner,1.161,1.35970299357215,1,0,4,8,0
116,Iran,13.038404810405298,From Free Kick,0.773,0.7853981633974483,1,0,2,7,0
117,Portugal,37.48332962798263,From Throw In,1.333,0.05400150037596829,3,0,1,2,0
118,Portugal,17.0,Regular Play,1.133,1.1722738811284763,1,0,2,2,0
119,Portugal,25.45584412271571,Regular Play,1.92,0.8850668158886104,2,0,2,5,1
120,Iran,9.848857801796104,From Free Kick,1.853,0.0,1,0,5,7,0
121,Portugal,28.792360097775937,From Throw In,0.653,0.21866894587394195,2,0,0,4,0
122,Portugal,23.53720459187964,From Free Kick,1.213,0.04345089539153084,1,0,2,5,0
123,Portugal,28.844410203711913,From Free Kick,1.12,0.4636476090008061,1,0,1,4,0
124,Iran,22.090722034374522,From Goal Kick,1.053,0.09065988720074511,1,0,1,3,0
125,Portugal,27.313000567495326,Regular Play,1.2,0.5404195002705842,2,0,0,3,0
126,Iran,10.63014581273465,From Throw In,0.39,0.5191461142465229,1,0,1,6,0
127,Iran,23.53720459187964,From Free Kick,0.107,0.372987721800061,2,0,2,7,0
128,Iran,9.899494936611665,From Free Kick,0.44,0.40489178628508343,1,0,2,5,0
129,Liverpool,39.65614706448421,From Corner,1.448353,0.18170064615624312,6,0,1,1,0
130,Liverpool,2.247220505424417,From Corner,0.172284,1.1583858851975102,1,0,7,9,1
131,Liverpool,23.324021951627472,From Goal Kick,0.122494,0.11114717703865852,2,0,1,2,0
132,Liverpool,7.810249675906651,From Corner,0.691639,0.4324077755705381,3,1,6,12,0
133,Arsenal,15.681836627130123,Regular Play,0.4423,1.0412067280128205,1,0,1,2,0
134,Arsenal,20.669300907384365,From Corner,1.127536,0.43727482811676344,4,0,1,4,0
135,Liverpool,13.060245020672474,From Free Kick,1.339743,0.008064341306767123,0,0,2,3,0
136,Arsenal,18.454809671194123,Regular Play,1.084451,0.34825949467711087,1,0,3,5,1
137,Arsenal,31.888869531546586,From Throw In,0.432525,0.3321668443276118,2,0,0,3,0
138,Liverpool,11.317243480636087,From Keeper,0.613404,1.0019484683735378,1,0,1,2,1
139,Liverpool,14.466858677681206,Regular Play,1.029978,1.0699757668304133,1,0,1,1,0
140,Arsenal,11.423659658795868,From Kick Off,0.102817,0.7751944359034939,4,0,2,6,0
141,Arsenal,7.592759709091285,From Kick Off,1.162449,1.4227643798328564,2,0,3,7,0
142,Liverpool,27.167075661542967,Regular Play,1.032946,0.28222313078062655,2,0,0,3,0
143,Arsenal,11.128791488746653,From Goal Kick,1.313547,0.5424315699899499,1,0,1,5,1
144,Arsenal,12.744018204632324,Regular Play,0.282619,0.649549422135656,1,0,2,8,1
145,Arsenal,32.52598960831169,From Goal Kick,1.231536,0.23492486421843342,1,0,0,2,0
146,Liverpool,26.89237810235458,From Throw In,2.172643,0.3923401442155158,5,0,1,3,0
147,Arsenal,8.637129152675667,Regular Play,0.947692,0.3562196553961507,1,0,2,4,0
148,Liverpool,27.30293024567144,From Free Kick,0.308713,0.6238025701228718,5,0,1,7,0
149,Arsenal,8.485281374238577,Regular Play,0.073515,0.5543074962015512,1,1,2,4,0
150,Arsenal,7.596051605933173,Regular Play,1.372122,0.7564207695458876,1,0,2,4,1
151,Liverpool,29.161961525247243,From Free Kick,0.781201,0.003460193802825066,2,0,0,4,0
152,Liverpool,15.670673246545595,From Free Kick,0.685083,0.3376945335132342,1,0,2,3,0
153,Arsenal,29.025850547399983,From Free Kick,0.1804,0.05258306161094172,2,0,0,3,0
154,Arsenal,15.443445211480501,From Free Kick,1.487615,1.3870517960557744,2,0,1,2,0
155,Liverpool,29.505423230314804,From Throw In,1.164571,0.1980847396167154,4,0,1,2,0
156,Arsenal,16.635203635663732,Regular Play,0.256594,0.5295895987820765,1,0,2,2,0
157,Athletic Bilbao,31.141612032776976,From Free Kick,1.859,0.019478055816527586,1,0,0,4,0
158,Barcelona,17.101169550647693,From Throw In,0.2611,0.21866894587394187,2,0,5,10,0
